State_Name,District_Name,Total_Area,Sugarcane_Area,Rice_Area,Latitude,Longitude
Assam,TINSUKIA,1747889.0,5265.0,1154254.0,27.4879722,95.3601855
Assam,UDALGURI,1594359.0,7636.0,876176.0,26.70472375,92.04215071409463
Bihar,ARARIA,4731108.0,1672.0,2194189.0,26.26510125,87.36994367279917
Bihar,ARWAL,526356.0,510.0,308588.0,25.18128315,84.65966477186029
Bihar,AURANGABAD,4578512.0,5509.0,2633557.0,24.80332005,84.41101977690866
Bihar,BANKA,2772616.0,24582.0,1771805.0,24.8328273,86.81611137878144
Bihar,BEGUSARAI,2863465.0,44467.0,439088.0,25.5125411,86.08833919362361
Bihar,BHAGALPUR,2788293.0,48457.0,703094.0,25.286135350000002,87.13042293057262
Bihar,BHOJPUR,3679675.0,4075.0,1753766.0,25.4501182,84.56351928394406
Bihar,BUXAR,2946465.0,7014.0,1284439.0,25.504483399999998,84.10975247469455
Bihar,DARBHANGA,3266916.0,14761.0,1505933.0,26.082989949999998,86.03249509324232
Bihar,GAYA,3429799.0,14400.0,1774048.0,24.67938895,85.01158329654393
Bihar,GOPALGANJ,3822922.0,338965.0,1517407.0,26.42111655,84.37391327996377
Bihar,JAMUI,1202989.0,10621.0,756130.0,24.75625135,86.30111278381085
Bihar,JEHANABAD,1863817.0,4097.0,939614.0,25.15295785,85.00650426458421
Bihar,KAIMUR (BHABUA),3500559.0,9115.0,1840832.0,25.0402736,83.6076361
Bihar,KATIHAR,4365293.0,1872.0,1956551.0,25.5586421,87.64571962485962
Bihar,KHAGARIA,2211529.0,1818.0,401409.0,25.4930513,86.69822644137813
Bihar,KISHANGANJ,2756769.0,605.0,1532238.0,26.29841435,87.94667148301295
Bihar,LAKHISARAI,1397340.0,60.0,454574.0,25.154393849999998,86.17449589670395
Bihar,MADHEPURA,3455081.0,14781.0,1331452.0,25.7806118,86.93647530783664
Bihar,MADHUBANI,5088631.0,8642.0,3052640.0,26.3503076,86.22964236520482
Bihar,MUNGER,1012531.0,817.0,471669.0,25.2202864,86.51614835791698
Bihar,MUZAFFARPUR,5175461.0,30066.0,2333368.0,26.1482548,85.3316096785584
Bihar,NALANDA,3695704.0,2548.0,1595700.0,25.1364914,85.44365464855682
Bihar,NAWADA,2312551.0,2693.0,1162180.0,24.817324900000003,85.51790846584018
Bihar,PASHCHIM CHAMPARAN,6389343.0,1165208.0,2834656.0,27.0,84.5
Bihar,PATNA,3685746.0,7085.0,1382165.0,25.6093239,85.1235252
Bihar,PURBI CHAMPARAN,6171031.0,170194.0,3252273.0,26.6465969,84.9091552
Bihar,PURNIA,4505985.0,1826.0,1911542.0,25.7758723,87.4087666694604
Bihar,ROHTAS,5985129.0,4881.0,3156079.0,24.93941425,84.01970311897313
Bihar,SAHARSA,3438761.0,1260.0,1561744.0,25.83307565,86.61437508111757
Bihar,SAMASTIPUR,4080094.0,49233.0,1479036.0,25.8559841,85.7867027
Bihar,SARAN,3750320.0,9486.0,1390764.0,25.9214451,84.77597313027485
Bihar,SHEIKHPURA,932611.0,2271.0,400917.0,25.1250741,85.81607708105014
Bihar,SHEOHAR,749830.0,28490.0,406871.0,26.49342335,85.27175608137802
Bihar,SITAMARHI,3319382.0,132881.0,1625546.0,26.5942841,85.500428
Bihar,SIWAN,4119159.0,70441.0,1770679.0,26.131008,84.39107448141786
Bihar,SUPAUL,4104529.0,958.0,1919547.0,26.2768089,86.79596143977405
Bihar,VAISHALI,2838174.0,2649.0,927313.0,25.74917025,85.39721640385531
Chandigarh,CHANDIGARH,12522.0,0.0,850.0,30.7334421,76.7797143
Chhattisgarh,BALOD,1009901.0,895.0,719769.0,20.7277192,81.1446947513626
Chhattisgarh,BALODA BAZAR,1113726.0,173.0,908917.0,21.573184750000003,82.2994820805541
Chhattisgarh,BALRAMPUR,748873.0,45683.0,321522.0,23.628257599999998,83.48109161894322
Chhattisgarh,BASTAR,4418798.0,7061.0,3303072.0,19.11912825,81.82918648971713
Chhattisgarh,BEMETARA,1342162.0,5243.0,627813.0,21.6783867,81.44125784340252
Chhattisgarh,BIJAPUR,577097.0,6.0,539132.0,18.7935679,80.815939
Chhattisgarh,BILASPUR,6248249.0,3106.0,4416266.0,22.1638486,82.13659231724193
Chhattisgarh,DANTEWADA,3090831.0,89.0,2168324.0,18.8640648,81.38339468738648
Chhattisgarh,DHAMTARI,3091363.0,133.0,2406147.0,20.532625850000002,81.71559867809776
Chhattisgarh,DURG,8865870.0,12123.0,5475583.0,21.1982964,81.40079215767969
Chhattisgarh,GARIYABAND,642095.0,289.0,540953.0,20.52675605,82.19172167092043
Chhattisgarh,JANJGIR-CHAMPA,4463843.0,564.0,3925816.0,21.986403,82.55366063452159
Chhattisgarh,JASHPUR,3831003.0,877.0,2706187.0,22.770251000000002,83.97080132252168
Chhattisgarh,KABIRDHAM,3497096.0,45525.0,1417830.0,22.115008500000002,81.24469439285053
Chhattisgarh,KANKER,3325082.0,21.0,2548877.0,20.2692747,81.4932111
Chhattisgarh,KONDAGAON,534616.0,39.0,400126.0,19.5885769,81.6628742
Chhattisgarh,KORBA,2086728.0,58.0,1642430.0,22.5198217,82.63500285150224
Chhattisgarh,KOREA,1739987.0,5.0,1045711.0,23.2382999,82.3906588
Chhattisgarh,MAHASAMUND,4363413.0,381.0,3839250.0,21.19228455,82.48902633077708
Chhattisgarh,MUNGELI,853500.0,860.0,434789.0,22.0661098,81.6874282
Chhattisgarh,NARAYANPUR,312315.0,30.0,223574.0,19.5842032,81.1136985512029
Chhattisgarh,RAIGARH,4453152.0,5735.0,3599863.0,22.23617945,83.35295335037318
Chhattisgarh,RAIPUR,7972033.0,1637.0,6503941.0,21.2380912,81.6336993
