lat,long,Crop_Year,Arecanut,Arhar/Tur,Bajra,Banana,Barley,Black pepper,Brinjal,Cashewnut,Castor seed,Coconut ,Coriander,Cotton(lint),Dry chillies,Dry ginger,Garlic,Gram,Grapes,Groundnut,Guar seed,Horse-gram,Jowar,Jute,Khesari,Linseed,Maize,Mango,Masoor,Mesta,Moong(Green Gram),Moth,Niger seed,Onion,Orange,Paddy,Papaya,Peas & beans (Pulses),Pineapple,Potato,Ragi,Rapeseed &Mustard,Rice,Rubber,Safflower,Sesamum,Small millets,Soyabean,Sugarcane,Sunflower,Sweet potato,Tapioca,Tobacco,Tomato,Turmeric,Urad,Wheat
8.327981399999999,77.35411726732715,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11670734427169481,0.0,0.0,0.0,0.0,0.0,0.4878616092777382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15784980765446505,0.0,0.0,0.0,0.1064762495960817,0.0,0.0,0.0,0.13110498920002014,0.0,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10965856270560187,0.0,0.0,0.0,0.0,0.0,0.45176316499563296,0.0,0.0,0.0,0.0,0.0,0.16477686950123696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369637329729851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13683766982454293,0.0,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11117103468643318,0.0,0.42835098338036126,0.0,0.0,0.0,0.0,0.0,0.14002414794123225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20255799415050432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178958398414689,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11630898003006668,0.0,0.44814790212549677,0.0,0.0,0.0,0.10204968572088337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101487309053683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12334470121818483,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03347046526186561,0.0,0.0,0.0,0.0,0.0,0.28622714034368324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459663260446121,0.0,0.0,0.05802743412223657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1626116998260935,0.0
8.327981399999999,77.35411726732715,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30056151723047103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22046893900509393,0.0,0.0,0.0,0.194230084564297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15131392172720898,0.0,0.13342553747292896,0.0,0.0,0.0
8.327981399999999,77.35411726732715,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831922327061825,0.0,0.0,0.0,0.0,0.0,0.32994349921146193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14602994969488747,0.0,0.0,0.0,0.19547294330555923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1453613750819088,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,2004.0,0.12430854826289406,0.0,0.0,0.12318077296925956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3805245674040476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21155668749950984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16042942386428896,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,2005.0,0.0,0.0,0.0,0.16609444177513152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3525474970085572,0.0,0.0,0.0,0.11410781254270226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1909185122908333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17633173638277563,0.0,0.0,0.0,0.0,0.0
8.327981399999999,77.35411726732715,2006.0,0.0,0.0,0.0,0.15546957505773598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296526465046876,0.0,0.0,0.0,0.12790999898938749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132164580409405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17375132140724855,0.0,0.0,0.0,0.0,0.0
